date,position,cash,mark,mkt_value,unrealized_pnl,signal,kc_upper,kc_lower,bb_upper,bb_lower,squeeze_on,atr,adx,daily_return,symbol,fold_id,test_year
2024-06-24,0,100000.0,43.8,100000.0,0.0,0,47.67027006580844,40.560125827994554,51.29940073992985,39.14959926007015,False,2.3700480792712946,18.166170967952112,0.0,LEU,3,2024
2024-06-25,0,100000.0,44.61,100000.0,0.0,0,47.672388919514944,40.65225498440205,51.00288469996689,39.11011530003312,False,2.34004464503763,17.852780513453425,0.0,LEU,3,2024
2024-06-26,0,100000.0,44.0,100000.0,0.0,0,47.67835347402677,40.61537196285051,50.00922853685826,39.40677146314175,False,2.354327170392086,17.730709269413488,0.0,LEU,3,2024
2024-06-27,0,100000.0,42.52,100000.0,0.0,0,47.52616482782394,40.45768199601742,49.33900470937627,39.411995290623736,False,2.356160943935508,18.072489295502557,0.0,LEU,3,2024
2024-06-28,0,100000.0,42.75,100000.0,0.0,0,47.367583449362215,40.379706534113296,48.01723409959156,39.931765900408436,False,2.3292923050829715,18.389856462585264,0.0,LEU,3,2024
2024-07-01,0,100000.0,41.9,100000.0,0.0,0,47.16255022698544,40.20880737711145,46.78330029887653,40.39269970112347,True,2.317914283291331,18.90288303152242,0.0,LEU,3,2024
2024-07-02,0,100000.0,41.99,100000.0,0.0,0,46.89628047739008,40.15209068822138,46.162799286168635,40.503200713831376,True,2.248063263056236,19.411998198202568,0.0,LEU,3,2024
2024-07-03,0,100000.0,42.23,100000.0,0.0,0,46.65751792941446,40.14434169661495,45.93618145222567,40.44281854777434,True,2.171058744266505,19.400618520169683,0.0,LEU,3,2024
2024-07-05,0,100000.0,41.38,100000.0,0.0,0,46.40279212938451,40.0141284846421,45.65022527706273,40.32877472293728,True,2.129554548247469,20.019891914716105,0.0,LEU,3,2024
2024-07-08,0,100000.0,39.22,100000.0,0.0,0,46.16120077949958,39.496013109381636,45.09029652434135,40.11570347565864,True,2.22172922337265,21.41127691369514,0.0,LEU,3,2024
2024-07-09,0,100000.0,40.75,100000.0,0.0,0,45.959838653715316,39.3014501028915,45.03373219488256,39.89126780511744,True,2.2194628502746037,22.703277269889963,0.0,LEU,3,2024
2024-07-10,0,100000.0,41.98,100000.0,0.0,0,45.9011443599189,39.23621213415393,44.68923803033696,39.96376196966303,True,2.221644075254989,22.436813580416366,0.0,LEU,3,2024
2024-07-11,0,100000.0,46.13,100000.0,0.0,0,46.49085599499525,39.32484749964207,45.411432188601594,39.6565678113984,True,2.388669498451061,21.235279142503433,0.0,LEU,3,2024
2024-07-12,0,100000.0,48.79,100000.0,0.0,1,47.10798885851181,39.82812382711243,46.80910983454438,38.87889016545562,False,2.426621677133128,21.232685435700173,0.0,LEU,3,2024
2024-07-15,202,90014.18959,47.25,99558.68959,-441.3104100000055,0,47.49210736045592,40.16437554558506,47.453345878389555,38.64065412161045,False,2.442577271623619,21.410826331049083,-0.004413104100000065,LEU,3,2024
2024-07-16,202,90014.18959,48.88,99887.94958999999,-112.05041000001074,0,47.95366537154191,40.66505725773326,48.440456285184155,38.36954371481585,False,2.429536037936218,21.51792078743589,0.0033071949957954594,LEU,3,2024
2024-07-17,202,90014.18959,45.04,99112.26959,-887.7304100000038,0,48.20008543274992,40.557806469927606,48.59491737830973,38.53408262169026,False,2.547426320940774,20.57291532755548,-0.007765501276018272,LEU,3,2024
2024-07-18,0,99008.45132595097,44.01,99008.45132595097,0.0,0,48.09558061728353,40.59203586609138,48.63915092540306,38.721849074596946,False,2.5011815837307187,19.262140424825215,-0.0010474814518777187,LEU,3,2024
2024-07-19,0,99008.45132595097,44.35,99008.45132595097,0.0,0,48.14104371029453,40.5477521556161,48.708925619066065,38.824074380933936,False,2.5310971848928103,18.375251420492106,0.0,LEU,3,2024
2024-07-22,0,99008.45132595097,43.66,99008.45132595097,0.0,0,48.00395968496503,40.55447466990649,48.70464139909022,38.81935860090978,False,2.4831616716861813,17.55171163075422,0.0,LEU,3,2024
2024-07-23,0,99008.45132595097,43.58,99008.45132595097,0.0,0,47.91024310800478,40.51500702259327,48.694233354799316,38.80776664520068,False,2.4650786951371684,17.028572124796355,0.0,LEU,3,2024
2024-07-24,0,99008.45132595097,42.55,99008.45132595097,0.0,0,47.65385371778303,40.454705924186634,48.6011832189008,38.69481678109919,False,2.399715931198799,16.54279972640691,0.0,LEU,3,2024
2024-07-25,0,99008.45132595097,41.8,99008.45132595097,0.0,0,47.3438336945846,40.33533931481652,48.55236576248687,38.52363423751312,False,2.3361647932560277,16.374628480576384,0.0,LEU,3,2024
2024-07-26,0,99008.45132595097,42.69,99008.45132595097,0.0,0,47.12976018057379,40.33044397078914,48.55450668929271,38.53849331070728,False,2.266438736594883,16.34359164977444,0.0,LEU,3,2024
2024-07-29,0,99008.45132595097,41.6,99008.45132595097,0.0,0,46.90370345158801,40.150766971073686,48.55829935987218,38.419700640127814,False,2.2509788268381055,15.999543428778411,0.0,LEU,3,2024
2024-07-30,0,99008.45132595097,42.55,99008.45132595097,0.0,0,46.728028557157174,40.14030182525103,48.55786088857823,38.48513911142176,False,2.1959089106353833,15.685821557685665,0.0,LEU,3,2024
2024-07-31,0,99008.45132595097,43.69,99008.45132595097,0.0,0,46.742117822331565,40.17494299984729,48.59374483056532,38.61925516943467,False,2.1890582741614275,15.004426819032211,0.0,LEU,3,2024
2024-08-01,0,99008.45132595097,40.73,99008.45132595097,0.0,0,46.721287253805755,39.676053490070345,48.64286097336126,38.42013902663874,False,2.3484112545784686,15.14622417507571,0.0,LEU,3,2024
2024-08-02,0,99008.45132595097,37.6,99008.45132595097,0.0,0,46.309322203011575,39.02160513668585,49.00764562919617,37.67735437080382,False,2.4292390221085776,16.131596887331373,0.0,LEU,3,2024
2024-08-05,0,99008.45132595097,36.48,99008.45132595097,0.0,0,45.898169101133405,38.254574682402364,49.37304237926262,37.037957620737366,False,2.5478648062436795,18.086685635080734,0.0,LEU,3,2024
2024-08-06,0,99008.45132595097,36.0,99008.45132595097,0.0,0,45.269338644105595,37.72600096956963,49.82299117431967,36.113008825680325,False,2.514445891511988,19.330997018769683,0.0,LEU,3,2024
2024-08-07,0,99008.45132595097,42.3,99008.45132595097,0.0,0,45.910988983649546,37.23717542872329,49.83118160997651,36.13681839002349,False,2.891271184975418,18.066160257979387,0.0,LEU,3,2024
2024-08-08,0,99008.45132595097,40.67,99008.45132595097,0.0,0,45.79689257514633,37.17906570271481,49.469493619143286,35.95250638085671,False,2.8726089574771736,16.891668980102683,0.0,LEU,3,2024
2024-08-09,0,99008.45132595097,39.88,99008.45132595097,0.0,0,45.465615030756574,37.20406150635588,48.518132965399495,36.0128670346005,False,2.7538511748002326,15.737539314078573,0.0,LEU,3,2024
2024-08-12,0,99008.45132595097,39.17,99008.45132595097,0.0,0,45.23009876026072,37.027227630460075,47.810443687748304,35.91255631225168,False,2.7342903766002165,15.107547626765937,0.0,LEU,3,2024
2024-08-13,0,99008.45132595097,37.7,99008.45132595097,0.0,0,44.803456867971605,36.80079081887101,46.57049345102103,36.03450654897896,False,2.6675553497002014,14.83863611684429,0.0,LEU,3,2024
2024-08-14,0,99008.45132595097,36.85,99008.45132595097,0.0,0,44.31804033351123,36.53342185934638,46.208276474464945,35.577723525535056,False,2.5948728247216155,14.836810110575108,0.0,LEU,3,2024
2024-08-15,0,99008.45132595097,37.12,99008.45132595097,0.0,0,43.884829569297835,36.336969557573326,45.90400287087968,35.19299712912033,False,2.5159533372415006,14.835114533325154,0.0,LEU,3,2024
2024-08-16,0,99008.45132595097,37.32,99008.45132595097,0.0,0,43.531606039028084,36.158593170998195,45.42973962662011,34.96426037337988,False,2.4576709560099648,15.08407679432575,0.0,LEU,3,2024
2024-08-19,0,99008.45132595097,39.05,99008.45132595097,0.0,0,43.41006037897815,36.1286912872361,44.96986796568076,34.963132034319244,False,2.4271230305806815,14.58189889153672,0.0,LEU,3,2024
2024-08-20,0,99008.45132595097,38.76,99008.45132595097,0.0,0,43.18352330826288,36.16296629450241,44.4669152950359,34.98408470496409,False,2.34018567125349,13.932516784152286,0.0,LEU,3,2024
2024-08-21,0,99008.45132595097,39.65,99008.45132595097,0.0,0,43.13950391002071,36.202558111528845,44.14147566316687,35.01952433683313,False,2.3123152661639557,13.058326865224121,0.0,LEU,3,2024
2024-08-22,0,99008.45132595097,37.53,99008.45132595097,0.0,0,42.94284813047697,35.99139846044881,43.89202419883037,34.841975801169625,False,2.3171498900093868,12.621714307375635,0.0,LEU,3,2024
2024-08-23,0,99008.45132595097,39.9,99008.45132595097,0.0,0,43.00152270936045,36.01517658719144,43.499075236373635,34.95592476362636,False,2.3287820407230018,12.163701494682876,0.0,LEU,3,2024
2024-08-26,0,99008.45132595097,38.6,99008.45132595097,0.0,0,42.88514371468527,35.95853660124263,43.21384560935139,34.94115439064861,False,2.3088690378142163,11.55188204429499,0.0,LEU,3,2024
2024-08-27,0,99008.45132595097,39.47,99008.45132595097,0.0,0,42.81699439797052,36.035859221202344,42.7488955351049,35.09810446489511,False,2.260378392256058,11.078952374443073,0.0,LEU,3,2024
2024-08-28,0,99008.45132595097,38.0,99008.45132595097,0.0,0,42.62538939788723,35.955763876602504,41.79123032153434,35.48676967846565,False,2.2232085070949115,10.851994947312793,0.0,LEU,3,2024
2024-08-29,0,99008.45132595097,39.35,99008.45132595097,0.0,0,42.56856214000851,36.02390987024411,41.593931216149024,35.54606878385098,False,2.181550756588132,10.421585393944381,0.0,LEU,3,2024
2024-08-30,0,99008.45132595097,39.6,99008.45132595097,0.0,0,42.476254463219185,36.17407735558081,41.6912844950452,35.6487155049548,False,2.100725702546123,9.882613638333376,0.0,LEU,3,2024
2024-09-03,0,99008.45132595097,35.87,99008.45132595097,0.0,0,42.352827575146385,35.6393774037679,41.759310731438774,35.51968926856122,False,2.237816723792829,11.01255591355658,0.0,LEU,3,2024
